"gene","logFC","SE","statistic","P_value","FDR","mean_expression","AveExpr","t","P.Value","adj.P.Val","B"
"SHROOM2",1.09026084564472,0.413561016843156,2.58579592909075,0.0172840362950923,0.624223528415956,4.25707202038752,4.25707202038752,2.58579592909075,0.0172840362950923,0.624223528415956,-4.4923005859708
"C6orf47",0.711759967644033,0.638799202492339,1.18750690600047,0.248350152933917,0.632758329894506,8.06791158284465,8.06791158284465,1.18750690600047,0.248350152933917,0.632758329894506,-4.58649934643689
"RDX",-0.721720102704291,0.490189856097156,-1.50229168580801,0.147982331324559,0.624223528415956,6.97965511572604,6.97965511572604,-1.50229168580801,0.147982331324559,0.624223528415956,-4.56855334647666
"MAFG",0.185389379068463,0.542427668530012,0.355406202150687,0.725847345755885,0.874849943610135,6.37613744735316,6.37613744735316,0.355406202150687,0.725847345755885,0.874849943610135,-4.61640286239775
"CSTA",-0.734565230041153,0.928342051423482,-0.873835430778591,0.392138938034649,0.693843364802153,7.29331285802469,7.29331285802469,-0.873835430778591,0.392138938034649,0.693843364802153,-4.60112667235321
"OAS2",-0.108765872119342,0.311123873508911,-0.31173593777038,0.758299080088065,0.890477938476197,5.59994948317901,5.59994948317901,-0.31173593777038,0.758299080088065,0.890477938476197,-4.61712388350207
"GJB1",1.26900491161082,0.84276470682396,1.65125720896106,0.113634345801841,0.624223528415956,6.12310634263668,6.12310634263668,1.65125720896106,0.113634345801841,0.624223528415956,-4.55913962605513
"RAB3A",1.03316685447531,0.569070977917372,1.90296572597808,0.0709123119814767,0.624223528415956,5.07824688778292,5.07824688778292,1.90296572597808,0.0709123119814767,0.624223528415956,-4.54218935156757
"EMP2",-0.987376639124043,0.598347735690692,-1.74290974101936,0.0960461775176136,0.624223528415956,7.47275432369195,7.47275432369195,-1.74290974101936,0.0960461775176136,0.624223528415956,-4.55310492026878
"AMMECR1",-0.45171980349193,0.638201917472148,-0.754266767575675,0.45910442320772,0.734865363864132,5.68513456442968,5.68513456442968,-0.754266767575675,0.45910442320772,0.734865363864132,-4.60569915422556
"DDX10",0.209998023155497,0.431406192516022,0.482633039679552,0.634373243053152,0.828322016182583,5.7127674416483,5.7127674416483,0.482633039679552,0.634373243053152,0.828322016182583,-4.61378436741814
"CLASRP",-0.129485497119342,0.313712436887748,-0.369266245132988,0.715607253161522,0.869639827502466,7.98014851718107,7.98014851718107,-0.369266245132988,0.715607253161522,0.869639827502466,-4.61615642542317
"SH3BGR",-1.15336705272634,0.596271012513711,-2.04196620829481,0.053977975490189,0.624223528415956,7.55662683459362,7.55662683459362,-2.04196620829481,0.053977975490189,0.624223528415956,-4.53238602877301
"CLOCK",-0.490479570884774,0.361836189700079,-1.27707248711221,0.215469262811,0.624223528415956,5.41948571980453,5.41948571980453,-1.27707248711221,0.215469262811,0.624223528415956,-4.58168572998356
"SLC22A18",-0.615368166100822,0.611081860936768,-1.0668224731115,0.298221821689585,0.646666030726418,5.79654055321502,5.79654055321502,-1.0668224731115,0.298221821689585,0.646666030726418,-4.59255183574692
"GIT2",-0.169338180360482,0.38342303651531,-0.423906378661329,0.675945202260668,0.848583816122183,6.53792562857343,6.53792562857343,-0.423906378661329,0.675945202260668,0.848583816122183,-4.61508938495854
"GPC4",-0.864761231172839,0.550473834390489,-1.63767926057117,0.11645884013269,0.624223528415956,6.23138712073045,6.23138712073045,-1.63767926057117,0.11645884013269,0.624223528415956,-4.56001871719527
"TRAPPC6A",0.241173017452969,0.473703938711841,0.515790573182301,0.611414697996084,0.816495758847293,5.74734033100015,5.74734033100015,0.515790573182301,0.611414697996084,0.816495758847293,-4.61297658017237
"ITIH2",-0.0295899252204583,0.537948308113366,-0.0571164483510903,0.954995018643534,0.982162440003555,5.02121775283657,5.02121775283657,-0.0571164483510903,0.954995018643534,0.982162440003555,-4.61945727966298
"FGB",1.25861775751029,0.652385059921927,2.06170572083143,0.051891666089658,0.624223528415956,4.30814383719136,4.30814383719136,2.06170572083143,0.051891666089658,0.624223528415956,-4.53097335279802
"ITGB4",0.449987524828532,0.402304029071583,1.08881912394902,0.288607129816685,0.64244007646036,5.84068893419067,5.84068893419067,1.08881912394902,0.288607129816685,0.64244007646036,-4.59148610833222
"NF2",0.0684180606554964,0.184886865397457,0.25103960156781,0.804210827934214,0.91431930414656,5.93345637963698,5.93345637963698,0.25103960156781,0.804210827934214,0.91431930414656,-4.61797023473499
"PFN2",-2.11987169290123,1.01468229627591,-2.31976756566689,0.0305624842632403,0.624223528415956,7.98757994778807,7.98757994778807,-2.31976756566689,0.0305624842632403,0.624223528415956,-4.51214647668727
"GNAZ",0.866250818106996,0.54753959099928,1.64780511778251,0.114346911699026,0.624223528415956,5.15333194063786,5.15333194063786,1.64780511778251,0.114346911699026,0.624223528415956,-4.55936350731836
