"file","cell","group","major_cell_type","subcluster","macrophage_score","efferocytosis_score","noncontractile_vsmc_score"
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G02","asymptomatic","macrophage","macrophage_S2",0.761357797916308,0.344955309108499,-0.516157672276539
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G08","asymptomatic","macrophage","macrophage_S2",0.858402780309105,0.472503317143133,-0.635691785642444
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G09","asymptomatic","macrophage","macrophage_S2",1.61836020480939,-0.132747678598683,-0.48803067409576
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G12","asymptomatic","macrophage","macrophage_S3",1.31812898021474,0.222257094967199,0.12138059487637
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G13","asymptomatic","macrophage","macrophage_S1",1.68635304356361,0.410274916704357,-0.329477279538958
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G15","asymptomatic","macrophage","macrophage_S1",1.96444583773072,0.548426355707211,-0.636158200796871
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G18","asymptomatic","macrophage","macrophage_S2",1.35731670624846,0.3749602545037,-0.485485739934557
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G20","asymptomatic","macrophage","macrophage_S2",1.37920339878899,0.299732542324784,-0.575050191987641
"GSM8121894_athero_human_1.txt.gz","Plate_733s_G21","asymptomatic","macrophage","macrophage_S3",0.873731807038981,0.319896025711939,-0.235438718952002
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H01","asymptomatic","macrophage","macrophage_S2",0.864149912226702,-0.172056386061735,-0.63849074917126
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H03","asymptomatic","macrophage","macrophage_S2",0.903229165831768,0.242110736018396,-0.639807305090213
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H07","asymptomatic","macrophage","macrophage_S2",0.887610763324061,0.144681566810536,-0.524705697195691
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H10","asymptomatic","macrophage","macrophage_S2",1.78647424716808,0.302262684605931,-0.616239236402777
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H11","asymptomatic","macrophage","macrophage_S2",1.50563122404553,-0.195799901367016,-0.404028791431156
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H12","asymptomatic","macrophage","macrophage_S2",1.350445413034,0.086397938039973,-0.251981087159133
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H14","asymptomatic","macrophage","macrophage_S2",1.56947630462742,-0.0180726244027246,-0.418066485119716
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H15","asymptomatic","macrophage","macrophage_S2",1.0526845742244,-0.0233956672770938,-0.568006855584149
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H21","asymptomatic","macrophage","macrophage_S2",1.46930647711203,-0.0411642550372026,-0.424020050957699
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H23","asymptomatic","macrophage","macrophage_S2",0.945826589265829,0.174663266384967,-0.652043502926946
"GSM8121894_athero_human_1.txt.gz","Plate_733s_H24","asymptomatic","macrophage","macrophage_S1",1.78057755841356,0.408016220222421,-0.44515659308247
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I05","asymptomatic","macrophage","macrophage_S2",1.37569959741801,0.382861001457365,-0.649353438415045
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I07","asymptomatic","macrophage","macrophage_S2",1.33705787501074,0.30240094569023,-0.599620487265902
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I08","asymptomatic","macrophage","macrophage_S1",1.76178711141481,0.566971952839652,-0.643144005623859
