"file","cell","group","major_cell_type","sc_cluster","PC1","PC2"
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P02","asymptomatic","endothelial","C6",1.70737324663627,12.9506136163375
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P03","asymptomatic","endothelial","C6",0.890844996099266,3.53365563899073
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P04","asymptomatic","macrophage","C5",-21.3466865483622,5.81076242385063
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P05","asymptomatic","endothelial","C6",2.41635719557543,14.2434348183586
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P07","asymptomatic","mast","C6",-0.553397631264817,6.33466032077019
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P08","asymptomatic","endothelial","C6",-3.06206011086231,10.5782180097034
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P09","asymptomatic","unassigned","C9",-8.27950582959585,0.744049527134057
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P12","asymptomatic","endothelial","C6",2.59044175011161,12.1164138694394
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P13","asymptomatic","macrophage","C9",-11.4701910079712,0.440769360999069
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P16","asymptomatic","endothelial","C6",3.97891272615508,20.5208476942787
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P18","asymptomatic","endothelial","C6",-0.619108099605501,5.82577992254254
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P19","asymptomatic","macrophage","C9",-13.7897873494769,2.37589007089963
"GSM8121894_athero_human_1.txt.gz","Plate_730s_P20","asymptomatic","macrophage","C9",-18.7856900232255,-0.490036074493744
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B02","asymptomatic","fibroblast","C7",15.3390587801199,-6.46189573311752
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B03","asymptomatic","fibroblast","C10",16.3322105658547,1.01810812690266
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B04","asymptomatic","fibroblast","C10",15.605321593569,-0.560130879773902
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B05","asymptomatic","fibroblast","C8",12.4828670191215,1.71845379272044
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B06","asymptomatic","fibroblast","C10",14.2473521320277,1.28634103266596
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B07","asymptomatic","fibroblast","C10",16.4813229773351,5.65679040210448
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B09","asymptomatic","macrophage","C3",-9.14421733931665,-2.73222575866376
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B10","asymptomatic","vsmc","C2",17.8196410202121,-1.99448752441019
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B11","asymptomatic","fibroblast","C7",14.3494590802509,-7.26706250488508
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B12","asymptomatic","fibroblast","C7",12.7333316420144,-3.51093854772863
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B13","asymptomatic","fibroblast","C10",15.0989972090004,-4.37797076342187
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B14","asymptomatic","fibroblast","C7",10.352122388086,-10.1106582553338
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B15","asymptomatic","fibroblast","C10",14.9162467794697,-3.50316769799345
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B16","asymptomatic","vsmc","C7",16.907140468835,-7.94853981388485
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B17","asymptomatic","fibroblast","C10",15.8810429607805,-0.216368363261061
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B18","asymptomatic","fibroblast","C10",12.8432921166401,-0.0509723676961097
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B19","asymptomatic","unassigned","C7",14.697618395902,-7.06153453511605
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B21","asymptomatic","fibroblast","C7",13.3249390806361,-7.04881589854677
"GSM8121894_athero_human_1.txt.gz","Plate_732s_B22","asymptomatic","fibroblast","C7",10.3050491966273,-7.70043343845952
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C01","asymptomatic","fibroblast","C10",13.5197594616776,-5.02190068982834
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C02","asymptomatic","unassigned","C10",14.4634350843884,-0.439725906934282
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C03","asymptomatic","macrophage","C9",-9.30892586549982,-8.42290674864935
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C04","asymptomatic","vsmc","C2",17.4843982527647,-5.25781275525339
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C05","asymptomatic","fibroblast","C10",13.4047095565865,-4.72803732414335
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C06","asymptomatic","fibroblast","C10",14.9834645107609,0.238140220302809
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C07","asymptomatic","fibroblast","C10",15.3407711879682,-1.36895297849833
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C09","asymptomatic","fibroblast","C10",15.0261060724289,-3.7342264586686
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C10","asymptomatic","vsmc","C2",16.3391848299701,-0.928519323833053
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C11","asymptomatic","fibroblast","C7",11.6827560722226,-8.40163342602508
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C12","asymptomatic","unassigned","C10",17.4706926304892,-2.28979494943908
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C13","asymptomatic","fibroblast","C10",17.5276851004958,-0.368135391795876
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C14","asymptomatic","fibroblast","C7",14.0781471509415,-10.1828630661594
