"gene","selection","variance","detection_fraction"
"LIMS2","high_variance",0.64008185896066,0.628218465539662
"CDH11","high_variance",0.639545958483865,0.575292587776333
"MT2A","high_variance",0.638935043887758,0.885435630689207
"FGF14","high_variance",0.638168712069098,0.55149544863459
"MRFAP1","high_variance",0.637588341894855,0.930559167750325
"VCP","high_variance",0.636693910353899,0.894928478543563
"SELPLG","high_variance",0.636554699485345,0.461898569570871
"AP1B1","high_variance",0.636440295101641,0.658777633289987
"CYTH4","high_variance",0.636243433365519,0.515734720416125
"MYADM","high_variance",0.636150644900053,0.916254876462939
"RHOG","high_variance",0.635873524324555,0.803511053315995
"TSIX","high_variance",0.633727199655349,0.781404421326398
"ID1","high_variance",0.631612739039881,0.453055916775032
"SYNPO","high_variance",0.631512588448134,0.684395318595579
"SLC3A2","high_variance",0.629200251228522,0.805461638491548
"ERCC-00116","high_variance",0.628818100055545,0.744343302990897
"TUBB6","high_variance",0.62813232138079,0.833550065019506
"YWHAQ","high_variance",0.627660856759606,0.938491547464239
"SELENOW","high_variance",0.626995521170154,0.966840052015605
"BCAP31","high_variance",0.626124431782767,0.909362808842653
"S100A9","high_variance",0.626090979275494,0.476202860858257
"PPP1CB","high_variance",0.624987093726252,0.921066319895969
"UQCRC1","high_variance",0.624950461342467,0.883875162548765
"CCDC3","high_variance",0.623343455963875,0.553055916775033
"FILIP1L","high_variance",0.622060972038646,0.776592977893368
"SHISA5","high_variance",0.621186509774905,0.905981794538361
"MGLL","high_variance",0.620779910902741,0.802730819245774
"LGALS3","high_variance",0.6198125206365,0.96814044213264
"AKR1A1","high_variance",0.617781811655939,0.857347204161248
"VMP1","high_variance",0.6165696623021,0.933810143042913
"CNN1","canonical_or_high_variance",0.616020003696912,0.520286085825748
"DPP7","high_variance",0.615552369085231,0.872041612483745
"ITGB5","high_variance",0.614575939677634,0.798959687906372
"CCL18","high_variance",0.613996078387792,0.428608582574772
"COMT","high_variance",0.613127601241139,0.921976592977893
"DAP","high_variance",0.61283195062956,0.832639791937581
"CTNNA1","high_variance",0.612319553210816,0.920416124837451
"VSIR","high_variance",0.612251557440955,0.763068920676203
"ATP5F1A","high_variance",0.611699967219683,0.974122236671001
"TUBB4B","high_variance",0.611575135679667,0.810663198959688
"FBLIM1","high_variance",0.611470150999212,0.835500650195058
"EFEMP2","high_variance",0.611395376175633,0.616514954486346
"SARAF","high_variance",0.611109339956367,0.955136540962289
"GLG1","high_variance",0.610610012519483,0.95591677503251
"ZFAND5","high_variance",0.60930794962796,0.939011703511053
"CYBRD1","high_variance",0.608943841178249,0.912613784135241
"IL6ST","high_variance",0.608593207719941,0.839531859557867
"SF3B1","high_variance",0.608524617155029,0.952925877763329
"WARS1","high_variance",0.606456155250882,0.779323797139142
"STING1","high_variance",0.606361050505392,0.826267880364109
"RAC2","high_variance",0.606354755675404,0.489856957087126
"CDC37","high_variance",0.606342485293884,0.843302990897269
"SHC1","high_variance",0.605990443418308,0.795968790637191
"CORO1A","high_variance",0.605930201434792,0.461898569570871
"TMEM204","high_variance",0.605880925332737,0.549674902470741
"PPP2R1A","high_variance",0.605543408655983,0.886475942782835
"PRNP","high_variance",0.605404304465763,0.877503250975293
"PEBP1","high_variance",0.604768930537344,0.947464239271782
"ARF4","high_variance",0.604326361179921,0.891547464239272
"TAPBP","high_variance",0.602972470664398,0.940832249674902
"MORF4L2","high_variance",0.602378702060589,0.864499349804941
"ENSG00000244255","high_variance",0.602022959203927,0.742262678803641
"LRPAP1","high_variance",0.601037255336754,0.925227568270481
"EIF4A2","high_variance",0.600239741144044,0.979713914174252
"TSPAN4","high_variance",0.600128940877729,0.803381014304291
"TNFSF13","high_variance",0.599478490096896,0.572691807542263
"PLP2","high_variance",0.599327432755251,0.895448634590377
"GUK1","high_variance",0.599263701181035,0.965019505851756
"HIF1A","high_variance",0.599129016246893,0.873992197659298
"BLVRB","high_variance",0.598753665208033,0.817425227568271
"TMEM109","high_variance",0.598529549161437,0.860858257477243
"RNF149","high_variance",0.598104149215147,0.789856957087126
"C1orf198","high_variance",0.598009309328569,0.63888166449935
"PLXND1","high_variance",0.597566552116195,0.743563068920676
"BST2","high_variance",0.597529292430398,0.864239271781534
"BCL6","high_variance",0.597318549564742,0.741352405721717
"CD93","high_variance",0.596533211363163,0.596618985695709
"PLXNB2","high_variance",0.596255609519282,0.850455136540962
"IER3-AS1","high_variance",0.595826273524139,0.676332899869961
"VCAM1","high_variance",0.595317784624905,0.588946684005202
"NPDC1","high_variance",0.595234152070726,0.566840052015605
"AKR1B1","high_variance",0.593769202081215,0.778803641092328
"FERMT3","high_variance",0.593269408671907,0.644213263979194
"FHL2","high_variance",0.593148272233897,0.684655396618986
"HEXB","high_variance",0.592492424456558,0.913784135240572
"MMP9","high_variance",0.592415110629045,0.401040312093628
"TGFBR2","high_variance",0.591722983288974,0.821066319895969
"WDR1","high_variance",0.590026530616315,0.925487646293888
"RAB34","high_variance",0.589908032021696,0.762418725617685
"RPN1","high_variance",0.589623914447917,0.950845253576073
"CD37","high_variance",0.589177845784857,0.627958387516255
"DBNL","high_variance",0.587897894191589,0.842782834850455
"ITGA1","high_variance",0.587475974783654,0.703511053315995
"MMP19","high_variance",0.586858801719908,0.684395318595579
"CLIC4","high_variance",0.585653712629338,0.866710013003901
"ATP6V0D1","high_variance",0.585644712229025,0.816254876462939
"CCNI","high_variance",0.585507335463248,0.972431729518856
"RCAN2","high_variance",0.585099298755943,0.494668400520156
"ECE1","high_variance",0.58492686313796,0.65110533159948
"PDIA6","high_variance",0.584575822883832,0.914564369310793
"SLC43A3","high_variance",0.584503211769931,0.698829648894668
"SERINC3","high_variance",0.584453404799722,0.913003901170351
"SURF4","high_variance",0.583399220211955,0.828348504551365
"SAMHD1","high_variance",0.583280980625438,0.742392717815345
"CAP1","high_variance",0.583258223014913,0.974382314694408
"ALOX5","high_variance",0.582719036614014,0.477893368010403
"RTL8C","high_variance",0.581934236314535,0.926267880364109
"ATP1A1","high_variance",0.581694435122832,0.915084525357607
"SERPINE2","high_variance",0.58015913582202,0.613914174252276
"TSPAN3","high_variance",0.58010216629881,0.900910273081925
"ERCC-00042","high_variance",0.579568926389911,0.887256176853056
"ANXA11","high_variance",0.579549288786408,0.926007802340702
"SORBS2","high_variance",0.579062716645735,0.621066319895969
"IFI6","high_variance",0.57891824524336,0.901690507152146
"RNF130","high_variance",0.578868637341283,0.842652795838752
