"gene","logFC","SE","statistic","P_value","FDR","mean_expression","logCPM","F","PValue"
"KIF4A",0.197524649612265,,0.581711901013662,0.459355629683069,0.950898411535146,1.42880095565141,1.42880095565141,0.581711901013662,0.459355629683069
"KIF5A",0.00220594220276725,,3.18963378964798e-05,0.99558017667764,0.999739739704274,1.62871258739525,1.62871258739525,3.18963378964798e-05,0.99558017667764
"KIF5B",-0.2195989360216,,1.63286926363372,0.223802486398316,0.950898411535146,8.26950760988233,8.26950760988233,1.63286926363372,0.223802486398316
"KIF5C",-0.135322772001209,,0.090809877932106,0.767950075131822,0.980125321080615,1.50364435062246,1.50364435062246,0.090809877932106,0.767950075131822
"KIF6",-0.0135729657543397,,0.0066929521786858,0.936052207869447,0.995802778902088,2.16003896319885,2.16003896319885,0.0066929521786858,0.936052207869447
"KIF7",0.0412783945460003,,0.014660803650332,0.905490375910288,0.993321468585711,2.52017486811938,2.52017486811938,0.014660803650332,0.905490375910288
"KIF9",0.0538326045994973,,0.0916374720725063,0.766929375246924,0.979798185775021,1.42184231387524,1.42184231387524,0.0916374720725063,0.766929375246924
"KIF9-AS1",-0.0560641964574997,,0.134507434413013,0.719746935661265,0.977264589146908,1.23112593557026,1.23112593557026,0.134507434413013,0.719746935661265
"KIFAP3",-0.145159742502152,,1.14212883277083,0.304775847291867,0.950898411535146,5.3742332234686,5.3742332234686,1.14212883277083,0.304775847291867
"KIFC1",0.679213188785844,,4.40690443383359,0.0560533389541232,0.950898411535146,0.902025985549199,0.902025985549199,4.40690443383359,0.0560533389541232
"KIFC2",0.433638750328819,,6.11436663657165,0.0281031534775377,0.950898411535146,2.34381405501364,2.34381405501364,6.11436663657165,0.0281031534775377
"KIFC3",0.369037953590597,,2.46685825270352,0.140443053224578,0.950898411535146,4.40684806877259,4.40684806877259,2.46685825270352,0.140443053224578
"KIN",-0.0728408634926406,,0.745601179656584,0.403627196196103,0.950898411535146,4.67161512784035,4.67161512784035,0.745601179656584,0.403627196196103
"KIR3DX1",-0.0769812559864229,,0.491691126856101,0.495618525077071,0.953614153596974,3.24867866564063,3.24867866564063,0.491691126856101,0.495618525077071
"KIRREL",-0.182034595089042,,0.731544705975344,0.407973875188245,0.950898411535146,6.50732898393238,6.50732898393238,0.731544705975344,0.407973875188245
"KIRREL-IT1",-0.210885367971105,,0.322855050566532,0.57968395388169,0.963069676185953,-0.0246670231962139,-0.0246670231962139,0.322855050566532,0.57968395388169
"KIRREL3",-0.244896696219708,,0.457474227462627,0.51076967635191,0.955676629167617,0.289457564245116,0.289457564245116,0.457474227462627,0.51076967635191
"KIT",-0.0206495064685922,,0.00114621658047308,0.973509899603839,0.997684723046841,3.83536771843967,3.83536771843967,0.00114621658047308,0.973509899603839
"KITLG",0.0706020537508221,,0.0783480775621355,0.783982504556054,0.982428971163371,4.93815447641366,4.93815447641366,0.0783480775621355,0.783982504556054
"KIZ",-0.114611706607814,,0.533993962629943,0.477983616445015,0.951410303355874,4.11840941726161,4.11840941726161,0.533993962629943,0.477983616445015
"KL",-0.5553853164754,,1.56509983082345,0.233163256454385,0.950898411535146,0.366118110699567,0.366118110699567,1.56509983082345,0.233163256454385
"KLB",0.120152031032236,,0.394984769956249,0.540650842967723,0.959410744773735,2.17162984792203,2.17162984792203,0.394984769956249,0.540650842967723
"KLC1",-0.0321473682356597,,0.0542149883996097,0.819534983700265,0.986776893043122,7.05888756055738,7.05888756055738,0.0542149883996097,0.819534983700265
"KLC2",0.0331618747273779,,0.0208253208466683,0.887484021697546,0.992169524526781,3.06692042777636,3.06692042777636,0.0208253208466683,0.887484021697546
"KLC3",0.231216633734881,,1.44621588995724,0.250733313146998,0.950898411535146,1.54857281863131,1.54857281863131,1.44621588995724,0.250733313146998
"KLC4",-0.0684034224936533,,0.179143894887508,0.679074876524738,0.972917273368961,3.61637751496769,3.61637751496769,0.179143894887508,0.679074876524738
"KLF10",0.0868037619283741,,0.118948488011674,0.735730826071059,0.977264589146908,5.73212231269801,5.73212231269801,0.118948488011674,0.735730826071059
"KLF11",0.0244379719714133,,0.0265195664156729,0.873158908530071,0.990932849559077,5.06213215397581,5.06213215397581,0.0265195664156729,0.873158908530071
"KLF12",-0.270956017678875,,2.18563080102667,0.163279851937552,0.950898411535146,5.94011393312231,5.94011393312231,2.18563080102667,0.163279851937552
"KLF13",0.0970785234480113,,1.12925188001784,0.307406277534346,0.950898411535146,6.42161121728023,6.42161121728023,1.12925188001784,0.307406277534346
"KLF15",-0.509693927912874,,1.09562314479852,0.314430926100338,0.950898411535146,2.18897715904803,2.18897715904803,1.09562314479852,0.314430926100338
"KLF16",0.523596769707141,,5.96254635700621,0.0297816440222087,0.950898411535146,1.91399140676337,1.91399140676337,5.96254635700621,0.0297816440222087
"KLF2",0.105325109427408,,0.0926371440106744,0.765700877263075,0.979144260825635,3.76772120743871,3.76772120743871,0.0926371440106744,0.765700877263075
"KLF3",-0.0354786031731158,,0.0925874754040053,0.76576152742427,0.979144260825635,6.41114976182791,6.41114976182791,0.0925874754040053,0.76576152742427
"KLF3-AS1",0.0341148317199372,,0.0351140236780732,0.854269548524683,0.990141064848319,3.45287158674643,3.45287158674643,0.0351140236780732,0.854269548524683
