"file","major_cell_type","n_cells","total_cells","fraction_of_cells","title_stub","file_stub.x","gsm","subject_status","tissue","group","file_stub.y"
"GSM8121900_athero_human_7.txt.gz","vsmc",136,650,0.209230769230769,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121900_athero_human_7.txt.gz","fibroblast",166,650,0.255384615384615,"athero_human_7","GSM8121900_athero_human_7","GSM8121900","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121900_athero_human_7"
"GSM8121901_athero_human_8.txt.gz","b_cell",9,220,0.0409090909090909,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121901_athero_human_8.txt.gz","unassigned",34,220,0.154545454545455,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121901_athero_human_8.txt.gz","mast",20,220,0.0909090909090909,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121901_athero_human_8.txt.gz","t_nk",8,220,0.0363636363636364,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121901_athero_human_8.txt.gz","fibroblast",31,220,0.140909090909091,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121901_athero_human_8.txt.gz","macrophage",97,220,0.440909090909091,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121901_athero_human_8.txt.gz","endothelial",6,220,0.0272727272727273,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121901_athero_human_8.txt.gz","vsmc",15,220,0.0681818181818182,"athero_human_8","GSM8121901_athero_human_8","GSM8121901","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121901_athero_human_8"
"GSM8121902_athero_human_9.txt.gz","t_nk",59,821,0.071863580998782,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121902_athero_human_9.txt.gz","b_cell",32,821,0.0389768574908648,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121902_athero_human_9.txt.gz","macrophage",391,821,0.476248477466504,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121902_athero_human_9.txt.gz","unassigned",154,821,0.187576126674787,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121902_athero_human_9.txt.gz","mast",27,821,0.0328867235079172,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121902_athero_human_9.txt.gz","vsmc",76,821,0.0925700365408039,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121902_athero_human_9.txt.gz","fibroblast",65,821,0.0791717417783191,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121902_athero_human_9.txt.gz","endothelial",17,821,0.0207064555420219,"athero_human_9","GSM8121902_athero_human_9","GSM8121902","Asymptomatic patient","Carotid Atherosclerotic Plaque","asymptomatic","GSM8121902_athero_human_9"
"GSM8121903_athero_human_10.txt.gz","macrophage",144,433,0.33256351039261,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121903_athero_human_10.txt.gz","mast",7,433,0.0161662817551963,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121903_athero_human_10.txt.gz","t_nk",7,433,0.0161662817551963,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
