"gene","major_cell_type","gene_present","median_cells_per_sample_file","mean_log1p_cpm","fraction_expressing","display_panel"
"CXCL8","endothelial",TRUE,23,0.124832981111162,0.428571428571429,"Inflammatory VSMC-associated genes"
"CXCL8","fibroblast",TRUE,112,0.0211695002367862,0.169230769230769,"Inflammatory VSMC-associated genes"
"CXCL8","t_nk",TRUE,9,0.525801967018635,0.684931506849315,"Inflammatory VSMC-associated genes"
"CXCL8","b_cell",TRUE,13,0.607782409327578,0.692307692307692,"Inflammatory VSMC-associated genes"
"CXCL8","mast",TRUE,11,0.407404246114472,0.833333333333333,"Inflammatory VSMC-associated genes"
"CXCL8","unassigned",TRUE,42,0.4749375758698,0.472222222222222,"Inflammatory VSMC-associated genes"
"CXCL12","macrophage",TRUE,170,0.565672348277012,0.854219948849105,"Inflammatory VSMC-associated genes"
"CXCL12","vsmc",TRUE,85,1.43994772493553,0.984126984126984,"Inflammatory VSMC-associated genes"
"CXCL12","endothelial",TRUE,23,0.995987363417095,0.9375,"Inflammatory VSMC-associated genes"
"CXCL12","fibroblast",TRUE,112,1.99164089562435,0.994871794871795,"Inflammatory VSMC-associated genes"
"CXCL12","t_nk",TRUE,9,0.507027202429182,0.714285714285714,"Inflammatory VSMC-associated genes"
"CXCL12","b_cell",TRUE,13,0.579555997985228,0.857142857142857,"Inflammatory VSMC-associated genes"
"CXCL12","mast",TRUE,11,0.447639678314201,0.833333333333333,"Inflammatory VSMC-associated genes"
"CXCL12","unassigned",TRUE,42,0.994156946772516,0.896551724137931,"Inflammatory VSMC-associated genes"
"ICAM1","macrophage",TRUE,170,0.909750705665862,0.944444444444444,"Inflammatory VSMC-associated genes"
"ICAM1","vsmc",TRUE,85,0.171397026775609,0.552941176470588,"Inflammatory VSMC-associated genes"
"ICAM1","endothelial",TRUE,23,0.624794354461843,0.755905511811024,"Inflammatory VSMC-associated genes"
"ICAM1","fibroblast",TRUE,112,0.428529146525328,0.633663366336634,"Inflammatory VSMC-associated genes"
"ICAM1","t_nk",TRUE,9,0.706793522129953,0.8,"Inflammatory VSMC-associated genes"
"ICAM1","b_cell",TRUE,13,0.779815221234246,0.857142857142857,"Inflammatory VSMC-associated genes"
"ICAM1","mast",TRUE,11,0.667247061811655,0.8125,"Inflammatory VSMC-associated genes"
"ICAM1","unassigned",TRUE,42,0.565893527278264,0.681818181818182,"Inflammatory VSMC-associated genes"
"VCAM1","macrophage",TRUE,170,0.0739697000113917,0.320754716981132,"Inflammatory VSMC-associated genes"
"VCAM1","vsmc",TRUE,85,0.579929655642835,0.753968253968254,"Inflammatory VSMC-associated genes"
"VCAM1","endothelial",TRUE,23,0.353606561504102,0.571428571428571,"Inflammatory VSMC-associated genes"
"VCAM1","fibroblast",TRUE,112,1.16308968693425,0.907692307692308,"Inflammatory VSMC-associated genes"
"VCAM1","t_nk",TRUE,9,0.156944424372681,0.428571428571429,"Inflammatory VSMC-associated genes"
"VCAM1","b_cell",TRUE,13,0.224125704140132,0.357142857142857,"Inflammatory VSMC-associated genes"
"VCAM1","mast",TRUE,11,0.118583609410931,0.5,"Inflammatory VSMC-associated genes"
"VCAM1","unassigned",TRUE,42,0.437055941852228,0.647058823529412,"Inflammatory VSMC-associated genes"
"NFKB1","macrophage",TRUE,170,0.313621445990924,0.658823529411765,"Inflammatory VSMC-associated genes"
"NFKB1","vsmc",TRUE,85,0.144075956109308,0.348387096774194,"Inflammatory VSMC-associated genes"
"NFKB1","endothelial",TRUE,23,0.259888466132492,0.529411764705882,"Inflammatory VSMC-associated genes"
"NFKB1","fibroblast",TRUE,112,0.155142410695711,0.461538461538462,"Inflammatory VSMC-associated genes"
"NFKB1","t_nk",TRUE,9,0.308616385884427,0.625,"Inflammatory VSMC-associated genes"
"NFKB1","b_cell",TRUE,13,0.333735475228004,0.6,"Inflammatory VSMC-associated genes"
"NFKB1","mast",TRUE,11,0.348919130001616,0.5,"Inflammatory VSMC-associated genes"
"NFKB1","unassigned",TRUE,42,0.256525063272945,0.527777777777778,"Inflammatory VSMC-associated genes"
"RELA","macrophage",TRUE,170,0.327299083170644,0.680306905370844,"Inflammatory VSMC-associated genes"
"RELA","vsmc",TRUE,85,0.531807067303541,0.741071428571429,"Inflammatory VSMC-associated genes"
"RELA","endothelial",TRUE,23,0.562631858461922,0.777777777777778,"Inflammatory VSMC-associated genes"
"RELA","fibroblast",TRUE,112,0.44064070598603,0.707317073170732,"Inflammatory VSMC-associated genes"
"RELA","t_nk",TRUE,9,0.398149267028609,0.571428571428571,"Inflammatory VSMC-associated genes"
"RELA","b_cell",TRUE,13,0.357765992805013,0.6875,"Inflammatory VSMC-associated genes"
"RELA","mast",TRUE,11,0.397785160003551,0.727272727272727,"Inflammatory VSMC-associated genes"
"RELA","unassigned",TRUE,42,0.45070486542409,0.722222222222222,"Inflammatory VSMC-associated genes"
"STAT3","macrophage",TRUE,170,0.819119916390718,0.958762886597938,"Inflammatory VSMC-associated genes"
"STAT3","vsmc",TRUE,85,1.09065916015289,0.963235294117647,"Inflammatory VSMC-associated genes"
"STAT3","endothelial",TRUE,23,1.05581070050627,0.977777777777778,"Inflammatory VSMC-associated genes"
"STAT3","fibroblast",TRUE,112,0.994120664295538,0.96969696969697,"Inflammatory VSMC-associated genes"
"STAT3","t_nk",TRUE,9,0.85892833652153,0.915254237288136,"Inflammatory VSMC-associated genes"
"STAT3","b_cell",TRUE,13,0.780453599763606,1,"Inflammatory VSMC-associated genes"
"STAT3","mast",TRUE,11,0.856283603263169,1,"Inflammatory VSMC-associated genes"
"STAT3","unassigned",TRUE,42,0.93408209831981,0.922077922077922,"Inflammatory VSMC-associated genes"
